id,name,is_closed,review_count,categories,rating,coordinates,location,latitude,longitude,formatted_categories
svctnw5lum1vaTDagaub9g,Beauty Plus,False,56,"[{'alias': 'cosmetics', 'title': 'Cosmetics & Beauty Supply'}]",4.9,"{'latitude': 39.3135963857557, 'longitude': -76.6165548726331}","{'address1': '2107 N Charles St', 'address2': '', 'address3': None, 'city': 'Baltimore', 'zip_code': '21218', 'country': 'US', 'state': 'MD', 'display_address': ['2107 N Charles St', 'Baltimore, MD 21218']}",39.3135963857557,-76.6165548726331,Cosmetics & Beauty Supply
KH917Qdpl9C-3TP_U5yojA,Everyone's Place African Cultural Center,False,28,"[{'alias': 'bookstores', 'title': 'Bookstores'}]",4.5,"{'latitude': 39.31045, 'longitude': -76.6399}","{'address1': '1356 W North Ave', 'address2': '', 'address3': '', 'city': 'Baltimore', 'zip_code': '21217', 'country': 'US', 'state': 'MD', 'display_address': ['1356 W North Ave', 'Baltimore, MD 21217']}",39.31045,-76.6399,Bookstores
urXJ0WZvc_W41TQ7kLHukA,Restaurant 2110,False,15,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'soulfood', 'title': 'Soul Food'}]",4.0,"{'latitude': 39.31364, 'longitude': -76.61709}","{'address1': '2110 N Charles St', 'address2': None, 'address3': '', 'city': 'Baltimore', 'zip_code': '21218', 'country': 'US', 'state': 'MD', 'display_address': ['2110 N Charles St', 'Baltimore, MD 21218']}",39.31364,-76.61709,"Seafood, Soul Food"
jQHoJQCuobN6VxWk8kOGmQ,Ice Queens,False,111,"[{'alias': 'shavedice', 'title': 'Shaved Ice'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",4.8,"{'latitude': 39.26829, 'longitude': -76.59108}","{'address1': '1648 E Fort Ave', 'address2': '', 'address3': None, 'city': 'Baltimore', 'zip_code': '21230', 'country': 'US', 'state': 'MD', 'display_address': ['1648 E Fort Ave', 'Baltimore, MD 21230']}",39.26829,-76.59108,"Shaved Ice, Desserts, Coffee & Tea"
CRVNDkX8b47TZX8uZiAoBA,Curry Printing,False,16,"[{'alias': 'copyshops', 'title': 'Printing Services'}, {'alias': 'graphicdesign', 'title': 'Graphic Design'}, {'alias': 'screen_printing_tshirt_printing', 'title': 'Screen Printing/T-Shirt Printing'}]",4.5,"{'latitude': 39.2929613, 'longitude': -76.615533}","{'address1': '314 N Charles St', 'address2': '', 'address3': '', 'city': 'Baltimore', 'zip_code': '21201', 'country': 'US', 'state': 'MD', 'display_address': ['314 N Charles St', 'Baltimore, MD 21201']}",39.2929613,-76.615533,"Printing Services, Graphic Design, Screen Printing/T-Shirt Printing"
lAAQgR-KPhO1UWWwKSYsig,BLK SWAN,False,424,"[{'alias': 'newamerican', 'title': 'New American'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",3.8,"{'latitude': 39.284521, 'longitude': -76.598812}","{'address1': '1302 Fleet St', 'address2': '', 'address3': None, 'city': 'Baltimore', 'zip_code': '21202', 'country': 'US', 'state': 'MD', 'display_address': ['1302 Fleet St', 'Baltimore, MD 21202']}",39.284521,-76.598812,"New American, Cocktail Bars"
sOHYrJm_HvS05vwJ6YisVA,Niecys Fabulous Juice Bar,False,3,"[{'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'acaibowls', 'title': 'Acai Bowls'}]",5.0,"{'latitude': 39.33884, 'longitude': -76.55109}","{'address1': '5416 Belair Rd', 'address2': 'Ste 1', 'address3': '', 'city': 'Baltimore', 'zip_code': '21206', 'country': 'US', 'state': 'MD', 'display_address': ['5416 Belair Rd', 'Ste 1', 'Baltimore, MD 21206']}",39.33884,-76.55109,"Juice Bars & Smoothies, Cafes, Acai Bowls"
fDwaq1obmNhNY5UYN5kERg,Neighborhood Fiber Company,False,7,"[{'alias': 'artsandcrafts', 'title': 'Arts & Crafts'}, {'alias': 'knittingsupplies', 'title': 'Knitting Supplies'}]",4.1,"{'latitude': 39.2968062171486, 'longitude': -76.6215137922805}","{'address1': '700 North Eutaw St', 'address2': '', 'address3': None, 'city': 'Baltimore', 'zip_code': '21201', 'country': 'US', 'state': 'MD', 'display_address': ['700 North Eutaw St', 'Baltimore, MD 21201']}",39.2968062171486,-76.6215137922805,"Arts & Crafts, Knitting Supplies"
kOrGo4G7su1F1KHrcybcVw,Home Maid,False,485,"[{'alias': 'tradamerican', 'title': 'American'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",3.9,"{'latitude': 39.27369322933664, 'longitude': -76.603197}","{'address1': '1400 Key Hwy', 'address2': '', 'address3': '', 'city': 'Baltimore', 'zip_code': '21230', 'country': 'US', 'state': 'MD', 'display_address': ['1400 Key Hwy', 'Baltimore, MD 21230']}",39.27369322933664,-76.603197,"American, Breakfast & Brunch, Cocktail Bars"
oa0ZA3jmmHQ32WdiTkmCFw,Terra Cafe,False,223,"[{'alias': 'cafes', 'title': 'Cafes'}]",3.7,"{'latitude': 39.317729, 'longitude': -76.615094}","{'address1': '101 E 25th St', 'address2': '', 'address3': '', 'city': 'Baltimore', 'zip_code': '21218', 'country': 'US', 'state': 'MD', 'display_address': ['101 E 25th St', 'Baltimore, MD 21218']}",39.317729,-76.615094,Cafes
8Ykwd0rkIA20q-gkYDjL1A,Cuples Tea House,False,26,"[{'alias': 'tea', 'title': 'Tea Rooms'}]",4.9,"{'latitude': 39.29432392465113, 'longitude': -76.6193163}","{'address1': '409 N Howard St', 'address2': '', 'address3': '', 'city': 'Baltimore', 'zip_code': '21201', 'country': 'US', 'state': 'MD', 'display_address': ['409 N Howard St', 'Baltimore, MD 21201']}",39.29432392465113,-76.6193163,Tea Rooms
m1dKWtjAxQoqXg70Pp_7lA,Corkscrew,False,17,"[{'alias': 'jazzandblues', 'title': 'Jazz & Blues'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",3.9,"{'latitude': 39.33085, 'longitude': -76.63438}","{'address1': '1117 W 36th St', 'address2': '', 'address3': None, 'city': 'Baltimore', 'zip_code': '21211', 'country': 'US', 'state': 'MD', 'display_address': ['1117 W 36th St', 'Baltimore, MD 21211']}",39.33085,-76.63438,"Jazz & Blues, Wine Bars, Breakfast & Brunch"
OL59Fpsp_xcNMsj78DyiFQ,Garden Rooftop,False,16,"[{'alias': 'newamerican', 'title': 'New American'}, {'alias': 'hookah_bars', 'title': 'Hookah Bars'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",3.4,"{'latitude': 39.294352933955714, 'longitude': -76.62240931842412}","{'address1': '411 N Paca St', 'address2': '', 'address3': None, 'city': 'Baltimore', 'zip_code': '21201', 'country': 'US', 'state': 'MD', 'display_address': ['411 N Paca St', 'Baltimore, MD 21201']}",39.294352933955714,-76.62240931842412,"New American, Hookah Bars, Cocktail Bars"
5wZj-6mY-Ov1wITF6DR87w,The Elk Room,False,346,"[{'alias': 'speakeasies', 'title': 'Speakeasies'}]",4.2,"{'latitude': 39.2844063, 'longitude': -76.5995024}","{'address1': '1010 Fleet St', 'address2': None, 'address3': '', 'city': 'Baltimore', 'zip_code': '21202', 'country': 'US', 'state': 'MD', 'display_address': ['1010 Fleet St', 'Baltimore, MD 21202']}",39.2844063,-76.5995024,Speakeasies
l1XNqjp5oNqdHRSc1HtilA,Creole Soul Restaurant,False,157,"[{'alias': 'cajun', 'title': 'Cajun/Creole'}, {'alias': 'soulfood', 'title': 'Soul Food'}, {'alias': 'southern', 'title': 'Southern'}]",3.9,"{'latitude': 39.32162, 'longitude': -76.6222}","{'address1': '301 W 29th St', 'address2': None, 'address3': '', 'city': 'Baltimore', 'zip_code': '21211', 'country': 'US', 'state': 'MD', 'display_address': ['301 W 29th St', 'Baltimore, MD 21211']}",39.32162,-76.6222,"Cajun/Creole, Soul Food, Southern"
AAm3jwOC2feBO4yPWzmVpg,Peppa Flame Restaurant and Lounge,False,125,"[{'alias': 'salad', 'title': 'Salad'}, {'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'pastashops', 'title': 'Pasta Shops'}]",4.1,"{'latitude': 39.270632, 'longitude': -76.59418}","{'address1': '1401 E Clement St', 'address2': None, 'address3': None, 'city': 'Baltimore', 'zip_code': '21230', 'country': 'US', 'state': 'MD', 'display_address': ['1401 E Clement St', 'Baltimore, MD 21230']}",39.270632,-76.59418,"Salad, Lounges, Pasta Shops"
etdAtkzZpYiizLJb_yFpFQ,Diaspora Salon,False,110,"[{'alias': 'hair', 'title': 'Hair Salons'}]",4.1,"{'latitude': 39.3167199, 'longitude': -76.6173}","{'address1': '2412 N Charles St', 'address2': '', 'address3': '', 'city': 'Baltimore', 'zip_code': '21218', 'country': 'US', 'state': 'MD', 'display_address': ['2412 N Charles St', 'Baltimore, MD 21218']}",39.3167199,-76.6173,Hair Salons
_8GwUhm30AuhT7ld_FRQDA,Cadden Furniture Service,False,2,"[{'alias': 'furniturerepair', 'title': 'Furniture Repair'}, {'alias': 'refinishing', 'title': 'Refinishing Services'}]",4.5,"{'latitude': 39.3038520812988, 'longitude': -76.5895767211914}","{'address1': '1103 N Washington St', 'address2': '', 'address3': '', 'city': 'Baltimore', 'zip_code': '21213', 'country': 'US', 'state': 'MD', 'display_address': ['1103 N Washington St', 'Baltimore, MD 21213']}",39.3038520812988,-76.5895767211914,"Furniture Repair, Refinishing Services"
SAMZk0YCshpQ5hHKno61Lg,Noir Restaurant & Lounge,False,158,"[{'alias': 'newamerican', 'title': 'New American'}, {'alias': 'lounges', 'title': 'Lounges'}]",3.1,"{'latitude': 39.35976, 'longitude': -76.6104}","{'address1': '5716 York Rd', 'address2': '', 'address3': None, 'city': 'Baltimore', 'zip_code': '21212', 'country': 'US', 'state': 'MD', 'display_address': ['5716 York Rd', 'Baltimore, MD 21212']}",39.35976,-76.6104,"New American, Lounges"
6ulR8s_SK3X0wYVQNZ0DSQ,Next Phaze Cafe,False,137,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'southern', 'title': 'Southern'}, {'alias': 'seafood', 'title': 'Seafood'}]",4.0,"{'latitude': 39.2913148, 'longitude': -76.6130198}","{'address1': '112 E Lexington St', 'address2': '', 'address3': None, 'city': 'Baltimore', 'zip_code': '21202', 'country': 'US', 'state': 'MD', 'display_address': ['112 E Lexington St', 'Baltimore, MD 21202']}",39.2913148,-76.6130198,"Cafes, Southern, Seafood"
